x_value,total_1,total_2
0,1000,1000
1,1001,997
2,1000,997
3,1005,997
4,1010,993
5,1013,998
6,1013,995
7,1017,997
8,1016,995
9,1012,991
10,1013,993
11,1014,999
12,1018,999
13,1012,1004
14,1015,1005
15,1018,1011
16,1014,1007
17,1008,1006
18,1005,1006
19,1006,1004
20,1011,1003
21,1012,1003
22,1019,1001
23,1019,1000
24,1016,1000
25,1023,1006
26,1028,1011
27,1024,1013
28,1026,1009
29,1024,1012
30,1025,1015
31,1019,1020
32,1016,1015
33,1017,1015
34,1021,1012
35,1017,1007
36,1020,1012
37,1022,1008
38,1018,1013
39,1016,1008
40,1024,1013
41,1021,1010
42,1024,1007
43,1026,1010
44,1027,1013
45,1027,1013
46,1025,1012
47,1024,1018
48,1032,1016
49,1033,1021
50,1031,1019
51,1030,1015
52,1035,1019
53,1032,1016
54,1038,1015
55,1035,1012
56,1040,1007
57,1044,1005
58,1042,1006
59,1036,1004
60,1032,1003
61,1033,1004
62,1028,1003
63,1025,999
64,1025,997
65,1019,1003
66,1015,1004
67,1021,1001
68,1020,1006
69,1019,1007
70,1024,1013
71,1029,1010
72,1024,1013
73,1031,1019
74,1036,1016
75,1042,1016
76,1046,1015
77,1044,1019
78,1040,1018
79,1035,1023
80,1031,1023
81,1025,1029
82,1025,1031
83,1021,1026
84,1021,1030
85,1025,1026
86,1031,1025
87,1035,1030
88,1029,1031
89,1031,1036
90,1027,1042
91,1021,1041
92,1019,1045
93,1022,1048
94,1020,1052
95,1016,1048
96,1012,1045
97,1007,1047
98,1003,1052
99,1006,1050
100,1012,1045
101,1014,1044
102,1021,1041
103,1024,1039
104,1023,1040
105,1027,1043
106,1028,1040
107,1023,1036
108,1030,1040
109,1032,1037
110,1031,1032
111,1031,1028
112,1036,1031
113,1041,1035
114,1041,1032
115,1041,1035
116,1045,1031
117,1043,1032
118,1051,1028
119,1054,1031
120,1053,1026
121,1048,1032
122,1052,1037
123,1060,1037
124,1062,1037
125,1056,1037
126,1060,1034
127,1057,1031
128,1060,1034
129,1058,1040
130,1056,1044
131,1055,1050
132,1063,1047
133,1062,1050
134,1070,1053
135,1075,1054
136,1076,1054
137,1077,1054
138,1076,1056
139,1073,1052
140,1069,1055
141,1076,1058
142,1081,1063
143,1075,1067
144,1072,1066
145,1077,1068
146,1085,1071
147,1087,1074
148,1087,1069
149,1083,1070
150,1081,1073
151,1077,1078
152,1076,1076
153,1077,1071
154,1075,1068
155,1081,1074
156,1087,1073
157,1081,1075
158,1087,1073
159,1081,1075
160,1089,1078
161,1094,1078
162,1091,1079
163,1096,1082
164,1104,1079
165,1109,1083
166,1111,1082
167,1110,1080
168,1117,1076
169,1124,1081
170,1123,1085
171,1121,1085
172,1123,1091
173,1121,1087
174,1129,1082
175,1125,1085
176,1128,1084
177,1130,1086
178,1132,1086
179,1135,1086
180,1132,1084
181,1139,1084
182,1141,1080
183,1146,1075
184,1142,1080
185,1149,1078
186,1148,1073
187,1143,1068
188,1149,1063
189,1151,1063
190,1155,1064
191,1152,1068
192,1147,1064
193,1151,1066
194,1158,1071
195,1161,1077
196,1161,1072
197,1161,1075
198,1161,1072
199,1169,1067
200,1164,1065
201,1172,1069
202,1178,1066
203,1174,1072
204,1168,1070
205,1173,1075
206,1180,1077
207,1188,1074
208,1185,1075
209,1186,1071
210,1180,1073
211,1183,1072
212,1189,1072
213,1187,1072
214,1185,1072
215,1188,1075
216,1182,1071
217,1180,1068
218,1187,1064
219,1190,1069
220,1198,1072
221,1200,1078
222,1205,1073
223,1202,1075
224,1201,1076
225,1205,1075
226,1208,1073
227,1209,1072
228,1203,1074
229,1205,1073
230,1204,1077
231,1209,1080
232,1205,1078
233,1204,1073
234,1203,1077
235,1207,1078
236,1211,1076
237,1218,1079
238,1221,1079
239,1220,1078
240,1228,1079
241,1229,1076
242,1229,1078
243,1226,1083
244,1221,1085
245,1217,1083
246,1220,1089
247,1219,1095
248,1226,1092
249,1222,1097
250,1220,1092
251,1217,1088
252,1212,1088
253,1212,1094
254,1212,1100
255,1206,1105
256,1213,1111
257,1212,1112
258,1207,1110
259,1203,1116
260,1201,1117
261,1204,1121
262,1202,1127
263,1203,1131
264,1211,1132
265,1208,1132
266,1215,1130
267,1212,1133
268,1206,1133
269,1210,1132
270,1206,1127
271,1207,1130
272,1205,1136
273,1203,1134
274,1209,1139
275,1212,1137
276,1211,1136
277,1213,1137
278,1215,1134
279,1219,1136
280,1220,1135
281,1217,1141
282,1222,1145
283,1216,1144
284,1213,1149
285,1211,1147
286,1205,1149
287,1213,1146
288,1214,1145
289,1208,1146
290,1204,1149
291,1211,1144
292,1214,1146
293,1217,1147
294,1213,1148
295,1221,1143
296,1221,1145
297,1216,1140
298,1212,1146
299,1209,1145
300,1213,1149
301,1215,1149
302,1222,1144
303,1217,1147
304,1222,1149
305,1226,1149
306,1226,1147
307,1228,1152
308,1226,1157
309,1229,1155
310,1237,1159
311,1241,1165
312,1247,1170
313,1243,1170
314,1241,1166
315,1235,1163
316,1240,1169
317,1243,1169
318,1242,1169
319,1243,1172
320,1244,1173
321,1251,1168
322,1250,1164
323,1246,1160
324,1242,1157
325,1241,1152
326,1240,1158
327,1234,1153
328,1228,1158
329,1230,1164
330,1225,1167
331,1226,1164
332,1221,1166
333,1224,1166
334,1226,1161
335,1232,1166
336,1239,1161
337,1242,1167
338,1250,1165
339,1255,1168
340,1260,1168
341,1264,1166
342,1270,1167
343,1274,1169
344,1274,1170
345,1275,1172
346,1281,1167
347,1286,1171
348,1280,1175
349,1283,1181
350,1289,1179
351,1286,1182
352,1283,1178
353,1284,1180
354,1279,1181
355,1273,1187
356,1277,1186
357,1280,1186
358,1284,1192
359,1292,1193
360,1291,1192
361,1290,1191
362,1289,1187
363,1296,1183
364,1294,1181
365,1294,1183
366,1296,1182
367,1296,1181
368,1303,1183
369,1307,1181
370,1315,1185
371,1313,1190
372,1307,1193
373,1313,1194
374,1308,1198
375,1302,1204
376,1308,1210
